Cloudlet;Status ;DC;Host;Host PEs ;VM;VM PEs   ;CloudletLen;FinishedLen;CloudletPEs;StartTime;FinishTime;ExecTime;RAM Utilization;CPU Utilization
ID;;ID;ID;CPU cores;ID;CPU cores;MI;MI;CPU cores;Seconds;Seconds;Seconds;     Percentage;     Percentage
4;SUCCESS;1;3;8;4;4;1000;1000;2;0;1;1;          86.87;          94.04
23;SUCCESS;1;22;8;23;4;1000;1000;2;0;1;1;          44.98;          25.91
10044;SUCCESS;1;43;8;44;4;1000;1000;2;0;1;1;          55.62;          36.67
61;SUCCESS;1;60;8;61;4;1000;1000;2;0;1;1;          15.79;          37.78
71;SUCCESS;1;70;8;71;4;1000;1000;2;0;1;1;          57.17;          74.66
81;SUCCESS;1;80;8;81;4;1000;1000;2;0;1;1;          36.00;          78.40
10090;SUCCESS;1;89;8;90;4;1000;1000;2;0;1;1;          35.53;          59.31
117;SUCCESS;1;116;8;117;4;1000;1000;2;0;1;1;          31.44;          33.39
138;SUCCESS;1;137;8;138;4;1000;1000;2;0;1;1;          21.38;          34.76
147;SUCCESS;1;146;8;147;4;1000;1000;2;0;1;1;          96.44;          88.74
10149;SUCCESS;1;148;8;149;4;1000;1000;2;0;1;1;          92.34;          94.69
162;SUCCESS;1;161;8;162;4;1000;1000;2;0;1;1;          96.04;          54.08
10167;SUCCESS;1;166;8;167;4;1000;1000;2;0;1;1;          73.64;          21.27
187;SUCCESS;1;186;8;187;4;1000;1000;2;0;1;1;          66.65;          29.52
206;SUCCESS;1;205;8;206;4;1000;1000;2;0;1;1;          28.44;          27.10
220;SUCCESS;1;219;8;220;4;1000;1000;2;0;1;1;           4.30;           3.00
244;SUCCESS;1;243;8;244;4;1000;1000;2;0;1;1;          92.09;          24.70
10295;SUCCESS;1;294;8;295;4;1000;1000;2;0;1;1;           1.45;          66.46
305;SUCCESS;1;304;8;305;4;1000;1000;2;0;1;1;          13.40;          22.87
10315;SUCCESS;1;314;8;315;4;1000;1000;2;0;1;1;          55.92;          86.89
317;SUCCESS;1;316;8;317;4;1000;1000;2;0;1;1;          40.48;          73.67
326;SUCCESS;1;325;8;326;4;1000;1000;2;0;1;1;          71.17;          26.53
328;SUCCESS;1;327;8;328;4;1000;1000;2;0;1;1;          10.88;          27.10
362;SUCCESS;1;361;8;362;4;1000;1000;2;0;1;1;          92.98;          56.47
10367;SUCCESS;1;366;8;367;4;1000;1000;2;0;1;1;          91.27;          73.12
408;SUCCESS;1;407;8;408;4;1000;1000;2;0;1;1;          95.37;          45.68
415;SUCCESS;1;414;8;415;4;1000;1000;2;0;1;1;           8.59;          68.50
424;SUCCESS;1;423;8;424;4;1000;1000;2;0;1;1;          86.34;          49.26
427;SUCCESS;1;426;8;427;4;1000;1000;2;0;1;1;           2.99;          22.52
10442;SUCCESS;1;441;8;442;4;1000;1000;2;0;1;1;          72.71;          58.27
452;SUCCESS;1;451;8;452;4;1000;1000;2;0;1;1;          99.96;           4.01
479;SUCCESS;1;478;8;479;4;1000;1000;2;0;1;1;          43.37;          78.54
10480;SUCCESS;1;479;8;480;4;1000;1000;2;0;1;1;          89.48;          60.70
10488;SUCCESS;1;487;8;488;4;1000;1000;2;0;1;1;          95.06;           2.93
511;SUCCESS;1;510;8;511;4;1000;1000;2;0;1;1;          92.99;          98.32
515;SUCCESS;1;514;8;515;4;1000;1000;2;0;1;1;           7.97;          29.89
549;SUCCESS;1;548;8;549;4;1000;1000;2;0;1;1;          16.90;           6.94
585;SUCCESS;1;584;8;585;4;1000;1000;2;0;1;1;          48.60;          51.09
599;SUCCESS;1;598;8;599;4;1000;1000;2;0;1;1;          76.54;          72.77
10618;SUCCESS;1;617;8;618;4;1000;1000;2;0;1;1;          51.18;          11.91
